Ticker,Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash
A,1/31/2017,45846,USD,2017,Q1,3/8/2017,3/6/2018,322000000,326000000,168000000,55000000,45000000,-152000000,-31000000,-26000000,9000000,-104000000,116000000,-32000000,,-69000000,-101000000,-42000000,89000000,-93000000,-58000000,-48000000
A,4/30/2017,45846,USD,2017,Q2,6/6/2017,5/31/2018,321000000,325000000,164000000,54000000,27000000,12000000,-17000000,-3000000,-3000000,35000000,257000000,-43000000,,0,-43000000,-43000000,52000000,-75000000,-67000000,148000000
A,7/31/2017,45846,USD,2017,Q3,9/6/2017,8/30/2018,321000000,326000000,175000000,51000000,83000000,-81000000,19000000,-17000000,5000000,-88000000,228000000,-43000000,,-57000000,-101000000,-42000000,39000000,32000000,29000000,174000000
A,10/31/2017,45846,USD,2017,Q4,12/21/2017,12/20/2018,324000000,327000000,177000000,52000000,38000000,21000000,-52000000,-15000000,-9000000,97000000,288000000,-58000000,0,0,-60000000,-43000000,-70000000,8000000,-106000000,115000000
A,1/31/2018,45846,USD,2018,Q1,3/6/2018,3/5/2019,323000000,323000000,-320000000,51000000,564000000,-80000000,-5000000,-34000000,-3000000,-38000000,215000000,-60000000,,-6000000,-67000000,-48000000,135000000,-22000000,37000000,210000000
A,4/30/2018,45846,USD,2018,Q2,5/31/2018,5/30/2019,322000000,326000000,205000000,50000000,18000000,30000000,-16000000,0,-11000000,57000000,303000000,-48000000,,-1000000,-51000000,-48000000,-30000000,-35000000,-114000000,122000000
A,7/31/2018,45846,USD,2018,Q3,8/30/2018,8/30/2018,320000000,324000000,236000000,53000000,-5000000,-87000000,12000000,-32000000,5000000,-72000000,197000000,-33000000,,-430000000,-472000000,-48000000,-315000000,-226000000,-589000000,-879000000
A,10/31/2018,45846,USD,2018,Q4,12/20/2018,12/18/2020,319000000,327000000,195000000,56000000,-487000000,608000000,-56000000,-17000000,49000000,632000000,372000000,-35000000,,-79000000,-115000000,-47000000,0,-83000000,-131000000,115000000
A,1/31/2019,45846,USD,2019,Q1,3/5/2019,3/5/2019,318000000,322000000,504000000,54000000,-250000000,-95000000,-22000000,-12000000,-16000000,-45000000,213000000,-39000000,,-248000000,-290000000,-52000000,0,-53000000,-122000000,-190000000
A,4/30/2019,45846,USD,2019,Q2,5/30/2019,5/30/2019,317000000,321000000,182000000,53000000,27000000,-10000000,5000000,-9000000,8000000,-14000000,252000000,-39000000,,0,-56000000,-52000000,0,-39000000,-92000000,97000000
A,7/31/2019,45846,USD,2019,Q3,8/30/2019,8/30/2019,313000000,317000000,191000000,55000000,29000000,-33000000,-41000000,-10000000,8000000,10000000,242000000,-47000000,,0,-51000000,-51000000,0,-530000000,-582000000,-390000000
A,10/31/2019,45846,USD,2019,Q4,12/19/2019,12/19/2019,308000000,312000000,194000000,76000000,42000000,2000000,-48000000,-5000000,29000000,26000000,314000000,-30000000,,-1160000000,-1193000000,-51000000,600000000,-47000000,497000000,-383000000
A,1/31/2020,45846,USD,2020,Q1,3/3/2020,3/2/2021,310000000,313000000,197000000,79000000,27000000,-362000000,-40000000,-32000000,-15000000,-275000000,-59000000,-34000000,,,-35000000,-56000000,56000000,-28000000,-61000000,-156000000
A,4/30/2020,45846,USD,2020,Q2,6/1/2020,3/2/2021,310000000,313000000,101000000,76000000,98000000,38000000,65000000,-53000000,5000000,21000000,313000000,-33000000,,,-53000000,-55000000,25000000,-126000000,-156000000,97000000
A,7/31/2020,45846,USD,2020,Q3,9/1/2020,6/1/2021,307000000,310000000,199000000,77000000,34000000,-20000000,-24000000,-1000000,-25000000,30000000,290000000,-24000000,,,-32000000,-56000000,-161000000,-9000000,-231000000,35000000
A,10/31/2020,45846,USD,2020,Q4,12/18/2020,9/1/2021,309000000,312000000,222000000,76000000,61000000,18000000,,,,,377000000,-27000000,,,-27000000,-55000000,35000000,-246000000,-269000000,83000000
A,1/31/2021,45846,USD,2021,Q1,3/2/2021,3/3/2022,306000000,309000000,288000000,76000000,80000000,-206000000,-31000000,-35000000,43000000,-183000000,238000000,-41000000,,,-42000000,-59000000,134000000,-319000000,-316000000,-111000000
A,4/30/2021,45846,USD,2021,Q2,6/1/2021,3/3/2022,306000000,309000000,216000000,77000000,37000000,142000000,14000000,-45000000,8000000,165000000,472000000,-31000000,,-547000000,-587000000,-59000000,427000000,-194000000,166000000,51000000
A,7/31/2021,45846,USD,2021,Q3,9/1/2021,5/31/2022,305000000,307000000,264000000,84000000,29000000,-43000000,,,,,334000000,-54000000,,0,-61000000,-59000000,-75000000,-87000000,-222000000,48000000
A,10/31/2021,45846,USD,2021,Q4,12/17/2021,9/1/2022,305000000,307000000,442000000,84000000,-90000000,5000000,,,,,441000000,-61000000,12000000,0,-59000000,-59000000,-130000000,-133000000,-324000000,55000000
AA,12/31/2016,367153,USD,2016,Q4,2/3/2017,2/26/2019,184586415,186000000,-129000000,182000000,149000000,37000000,,,,,239000000,-146000000,0,0,-819000000,,1206000000,10000000,1209000000,618000000
AA,3/31/2017,367153,USD,2017,Q1,5/10/2017,5/9/2018,184000000,186000000,308000000,179000000,-65000000,-348000000,,,,,74000000,-71000000,-25000000,238000000,-96000000,,-1000000,18000000,-22000000,-37000000
AA,6/30/2017,367153,USD,2017,Q2,8/3/2017,8/2/2018,184000000,186000000,138000000,190000000,54000000,-71000000,,,,,311000000,-88000000,-11000000,5000000,-103000000,,-3000000,0,-69000000,143000000
AA,9/30/2017,367153,USD,2017,Q3,10/27/2017,11/2/2018,184000000,189000000,169000000,195000000,26000000,-6000000,,,,,384000000,-96000000,-8000000,0,-104000000,,-46000000,20000000,-115000000,162000000
AA,12/31/2017,367153,USD,2017,Q4,2/26/2018,11/2/2018,184000000,187000000,-56000000,188000000,424000000,-101000000,,,,,455000000,-150000000,-22000000,2000000,-170000000,,18000000,5000000,-53000000,238000000
AA,3/31/2018,367153,USD,2018,Q1,5/9/2018,5/9/2018,186000000,188000000,274000000,194000000,-45000000,-368000000,,,,,55000000,-74000000,,,-74000000,,57000000,15000000,-147000000,-162000000
AA,6/30/2018,367153,USD,2018,Q2,8/2/2018,8/2/2018,186000000,190000000,230000000,193000000,-411000000,-442000000,,,,,-430000000,-95000000,-5000000,,-100000000,,489000000,7000000,433000000,-108000000
AA,9/30/2018,367153,USD,2018,Q3,11/2/2018,11/2/2018,186000000,189000000,155000000,172000000,-42000000,3000000,,,,,288000000,-82000000,-1000000,,-83000000,,-98000000,1000000,-280000000,-69000000
AA,12/31/2018,367153,USD,2018,Q4,2/26/2019,2/26/2019,186000000,189000000,234000000,174000000,142000000,-15000000,,,,,535000000,-148000000,-1000000,1000000,-148000000,,-23000000,-50000000,-294000000,90000000
AA,3/31/2019,367153,USD,2019,Q1,5/9/2019,5/9/2019,185000000,185000000,-58000000,172000000,211000000,-157000000,,,,,168000000,-69000000,-1000000,11000000,-59000000,,,1000000,-199000000,-96000000
AA,6/30/2019,367153,USD,2019,Q2,7/31/2019,7/31/2019,185000000,185000000,-293000000,174000000,419000000,-218000000,,,,,82000000,-89000000,-110000000,0,-199000000,,,0,-71000000,-183000000
AA,9/30/2019,367153,USD,2019,Q3,10/31/2019,10/30/2020,185000000,185000000,-147000000,184000000,195000000,-58000000,,,,,174000000,-87000000,-1000000,12000000,-76000000,,,1000000,-81000000,7000000
AA,12/31/2019,367153,USD,2019,Q4,2/21/2020,10/30/2020,185000000,185000000,-355000000,183000000,266000000,168000000,,,,,262000000,-134000000,0,0,-134000000,,-7000000,0,-93000000,39000000
AA,3/31/2020,367153,USD,2020,Q1,4/29/2020,5/5/2021,186000000,187000000,139000000,170000000,-153000000,-246000000,,,,,-90000000,108000000,-1000000,,107000000,,,,-44000000,-51000000
AA,6/30/2020,367153,USD,2020,Q2,7/29/2020,5/5/2021,186000000,185000000,-150000000,152000000,57000000,229000000,,,,,288000000,-77000000,-2000000,,-79000000,,,,-71000000,136000000
AA,9/30/2020,367153,USD,2020,Q3,10/30/2020,7/29/2021,186000000,186000000,-20000000,161000000,30000000,-13000000,,,,,158000000,-75000000,-3000000,,-78000000,,739000000,,692000000,771000000
AA,12/31/2020,367153,USD,2020,Q4,2/25/2021,10/28/2021,186000000,186000000,17000000,170000000,-155000000,6000000,,,,,38000000,-309000000,-6000000,198000000,-117000000,,-1000000,1000000,-63000000,-129000000
AA,3/31/2021,367153,USD,2021,Q1,5/5/2021,5/5/2022,186000000,189000000,219000000,182000000,-57000000,-338000000,,,,,6000000,516000000,-2000000,,514000000,,495000000,4000000,428000000,937000000
AA,6/30/2021,367153,USD,2021,Q2,7/29/2021,5/5/2022,186000000,189000000,350000000,161000000,-499000000,-98000000,,,,,-86000000,35000000,-1000000,,34000000,,-776000000,10000000,-849000000,-892000000
AA,9/30/2021,367153,USD,2021,Q3,10/28/2021,7/25/2022,187000000,190000000,370000000,156000000,49000000,-140000000,,,,,435000000,-73000000,-4000000,,-77000000,,-518000000,5000000,-545000000,-196000000
AAL,12/31/2016,68568,USD,2016,Q4,2/22/2017,2/22/2017,514572000,518358000,,,,,,,,,627000000,-1397000000,,0,-1056000000,-52000000,2309000000,-569000000,370000000,-59000000
AAL,3/31/2017,68568,USD,2017,Q1,4/27/2017,4/27/2017,503902000,507797000,,,,,,,,,2250000000,-1682000000,,,-1849000000,-51000000,899000000,-484000000,-349000000,52000000
AAL,6/30/2017,68568,USD,2017,Q2,7/28/2017,7/28/2017,490818000,492965000,,,,,,,,,1688000000,-1199000000,,,-1415000000,-51000000,726000000,-529000000,-272000000,1000000
AAL,9/30/2017,68568,USD,2017,Q3,10/26/2017,10/25/2018,484772000,486625000,,,,,,,,,369000000,-851000000,,-203000000,185000000,-48000000,535000000,-359000000,-599000000,-45000000
AAL,12/31/2017,68568,USD,2017,Q4,2/21/2018,10/25/2018,477164000,479381000,,,,,,,,,437000000,-1292000000,,0,-557000000,-48000000,898000000,-243000000,75000000,-45000000
AAL,3/31/2018,68568,USD,2018,Q1,4/26/2018,4/26/2018,472297000,474598000,,,,,,,,,1799000000,-757000000,,,-956000000,-48000000,236000000,-461000000,-841000000,2000000
AAL,6/30/2018,68568,USD,2018,Q2,7/26/2018,7/26/2018,463533000,464618000,,,,,,,,,1084000000,-716000000,,,-79000000,-46000000,656000000,-376000000,-1100000000,-95000000
AAL,9/30/2018,68568,USD,2018,Q3,10/25/2018,10/25/2018,460526000,461507000,,,,,,,,,-79000000,-403000000,,0,-548000000,-46000000,1257000000,0,636000000,9000000
AAL,12/31/2018,68568,USD,2018,Q4,2/25/2019,2/25/2019,460588000,461917000,,,,,,,,,729000000,-662000000,,0,-390000000,-46000000,205000000,0,-367000000,-28000000
AAL,3/31/2019,68568,USD,2019,Q1,4/26/2019,4/26/2019,451951000,453429000,,,,,,,,,1651000000,-946000000,,,-480000000,-46000000,400000000,-608000000,-1109000000,62000000
AAL,6/30/2019,68568,USD,2019,Q2,7/25/2019,7/25/2019,445007000,445587000,,,,,,,,,736000000,-840000000,,,-1933000000,-44000000,2189000000,-17000000,1179000000,-18000000
AAL,9/30/2019,68568,USD,2019,Q3,10/24/2019,10/24/2019,441915000,442401000,,,,,,,,,828000000,-672000000,,,-469000000,-45000000,961000000,-200000000,-366000000,-7000000
AAL,12/31/2019,68568,USD,2019,Q4,2/19/2020,10/22/2020,434579000,435659000,,,,,,,,,600000000,-1604000000,,,639000000,-43000000,-3780000000,-272000000,-1272000000,-33000000
AAL,3/31/2020,68568,USD,2020,Q1,4/30/2020,4/22/2021,425713000,425713000,,,,,,,,,-168000000,-810000000,,,-162000000,-43000000,772000000,-171000000,526000000,196000000
AAL,6/30/2020,68568,USD,2020,Q2,7/23/2020,4/22/2021,428807000,428807000,,,,,,,,,-908000000,-275000000,,,-6799000000,0,6215000000,1525000000,7688000000,-19000000
AAL,9/30/2020,68568,USD,2020,Q3,10/22/2020,7/22/2021,509049000,509049000,,,,,,,,,-2604000000,-474000000,,,923000000,0,1559000000,0,1511000000,-170000000
AAL,12/31/2020,68568,USD,2020,Q4,2/17/2021,10/21/2021,571983000,571983000,,,,,,,,,-2863000000,-131000000,,,1696000000,0,-301000000,1443000000,1269000000,102000000
AAL,3/31/2021,68568,USD,2021,Q1,4/22/2021,4/21/2022,634609000,634609000,,,,,,,,,174000000,127000000,,,-7152000000,,6807000000,316000000,7013000000,35000000
AAL,6/30/2021,68568,USD,2021,Q2,7/22/2021,4/21/2022,644123000,644123000,,,,,,,,,3470000000,75000000,,,-3884000000,,249000000,144000000,445000000,31000000
AAL,9/30/2021,68568,USD,2021,Q3,10/21/2021,7/21/2022,639366000,639366000,,,,,,,,,-1740000000,-46000000,,,3315000000,,-1599000000,-13000000,-1609000000,-34000000
AAMC,12/31/2016,847094,USD,2016,Q4,3/1/2017,3/1/2018,1565573,1565573,-1663000,0,2397000,2123000,,,,,2857000,0,0,0,-20566000,,0,-3620000,-4166000,-21875000
AAMC,3/31/2017,847094,USD,2017,Q1,5/9/2017,5/8/2018,1545555,1545555,-1318000,0,2169000,-6651000,,,,,-5800000,0,0,,0,,,-3633000,-3929000,-9729000
AAMC,6/30/2017,847094,USD,2017,Q2,8/8/2017,8/9/2018,1563272,1563272,-1742000,0,1895000,2170000,,,,,2323000,0,0,,0,,,-1411000,-1526000,797000
AAMC,9/30/2017,847094,USD,2017,Q3,11/7/2017,11/7/2018,1574822,1574822,-2125000,106000,1659000,1514000,,,,,1154000,0,0,,0,,,36000,7000,1161000
AAMC,12/31/2017,847094,USD,2017,Q4,3/1/2018,3/1/2018,1598063,1598063,-1784000,196000,1263000,3013000,,,,,2688000,-1216000,0,0,-1841000,,0,-186000,-311000,536000
AAMC,3/31/2018,847094,USD,2018,Q1,5/8/2018,5/8/2018,1603898,1603898,-4364000,109000,4197000,-4162000,,,,,-4220000,-14000,193000,,179000,,,-193000,-193000,-4234000
AAMC,6/30/2018,847094,USD,2018,Q2,8/9/2018,8/9/2018,1612382,1612382,-1067000,105000,761000,153000,,,,,-48000,-60000,290000,,230000,,,-31000,-31000,151000
AAMC,9/30/2018,847094,USD,2018,Q3,11/7/2018,11/7/2018,1613413,1613413,-1155000,111000,387000,1847000,,,,,1190000,-3000,0,,-140000,,,-104000,-122000,928000
AAMC,12/31/2018,847094,USD,2018,Q4,4/30/2019,4/30/2019,1616003,1616003,-4290000,111000,4205000,626000,,,,,652000,-71000,129000,,-376000,,0,-3296000,-3299000,-3023000
AAMC,3/31/2019,847094,USD,2019,Q1,5/8/2019,5/8/2019,1582016,1582016,-840000,95000,-122000,-3850000,,,,,-4717000,-38000,570000,,-110000,,,-195000,-195000,-5022000
AAMC,6/30/2019,847094,USD,2019,Q2,8/7/2019,8/7/2019,1589534,2078510,3289000,93000,-4155000,-129000,,,,,-902000,-37000,205000,,-273000,,,-6000,-6000,-1181000
AAMC,9/30/2019,847094,USD,2019,Q3,11/6/2019,11/6/2020,1590794,1101818,-3523000,97000,1772000,2450000,,,,,796000,-123000,476000,,-186000,,,201000,0,590000
AAMC,12/31/2019,847094,USD,2019,Q4,4/29/2020,11/6/2020,1597464,1597464,-9483000,37000,-844000,186000,,,,,-1921000,35000,-1251000,,383000,,,,-43000,-1593000
AAMC,3/31/2020,847094,USD,2020,Q1,5/11/2020,5/19/2021,1615710,1615710,-5654000,89000,1131000,-644000,,,,,-3432000,-22000,,,469000,,,13000,-192000,-3234000
AAMC,6/30/2020,847094,USD,2020,Q2,8/14/2020,5/19/2021,1629284,1629284,-10212000,88000,5690000,744000,,,,,-885000,0,,,-8000,,,-13000,10000,-886000
AAMC,9/30/2020,847094,USD,2020,Q3,11/6/2020,8/16/2021,1632187,1632187,-3089000,88000,289000,1704000,,,,,13596000,-1000,,,3154000,,,,0,16794000
