"Earnings Per Share, Basic",Ticker,Fiscal Year,Fiscal Period
0.52174,A,2017,Q1
0.5109,A,2017,Q2
0.54517,A,2017,Q3
0.5463,A,2017,Q4
-0.99071,A,2018,Q1
0.63665,A,2018,Q2
0.7375,A,2018,Q3
0.61129,A,2018,Q4
1.58491,A,2019,Q1
0.57413,A,2019,Q2
0.61022,A,2019,Q3
0.62987,A,2019,Q4
0.63548,A,2020,Q1
0.32581,A,2020,Q2
0.64821,A,2020,Q3
0.71845,A,2020,Q4
0.94118,A,2021,Q1
0.70588,A,2021,Q2
0.86557,A,2021,Q3
1.44918,A,2021,Q4
0.9402,A,2022,Q1
0.91639,A,2022,Q2
1.10403,A,2022,Q3
1.15723,A,2022,Q4
-0.67719,AA,2016,Q4
1.22283,AA,2017,Q1
0.40761,AA,2017,Q2
0.61413,AA,2017,Q3
-1.06522,AA,2017,Q4
0.80645,AA,2018,Q1
0.40323,AA,2018,Q2
-0.22043,AA,2018,Q3
0.23118,AA,2018,Q4
-1.07568,AA,2019,Q1
-2.17297,AA,2019,Q2
-1.19459,AA,2019,Q3
-1.63784,AA,2019,Q4
0.43011,AA,2020,Q1
-1.05914,AA,2020,Q2
-0.26344,AA,2020,Q3
-0.02151,AA,2020,Q4
0.94086,AA,2021,Q1
1.66129,AA,2021,Q2
1.80214,AA,2021,Q3
-2.15795,AA,2021,Q4
2.54132,AA,2022,Q1
2.9837,AA,2022,Q2
-4.08768,AA,2022,Q3
0.02074,AAC_delist,2016,Q4
-0.02603,AAC_delist,2017,Q1
-0.08244,AAC_delist,2017,Q2
0.03266,AAC_delist,2017,Q3
-0.80537,AAC_delist,2017,Q4
0.04447,AAC_delist,2018,Q1
-0.12466,AAC_delist,2018,Q2
-0.47482,AAC_delist,2018,Q3
-1.89549,AAC_delist,2018,Q4
-0.8989,AAC_delist,2019,Q1
-0.66169,AAC_delist,2019,Q2
-0.52405,AAC_delist,2019,Q3
0.56163,AAL,2016,Q4
0.46438,AAL,2017,Q1
1.63604,AAL,2017,Q2
1.2872,AAL,2017,Q3
0.54069,AAL,2017,Q4
0.39382,AAL,2018,Q1
1.22321,AAL,2018,Q2
0.74046,AAL,2018,Q3
0.69042,AAL,2018,Q4
0.40934,AAL,2019,Q1
1.48762,AAL,2019,Q2
0.96172,AAL,2019,Q3
0.95265,AAL,2019,Q4
-5.26411,AAL,2020,Q1
-4.82035,AAL,2020,Q2
-4.71271,AAL,2020,Q3
-3.80781,AAL,2020,Q4
-1.96972,AAL,2021,Q1
0.0295,AAL,2021,Q2
0.26589,AAL,2021,Q3
-1.43657,AAL,2021,Q4
-2.52017,AAL,2022,Q1
0.73192,AAL,2022,Q2
-1.09545,AAMC,2016,Q4
-0.88641,AAMC,2017,Q1
-1.14695,AAMC,2017,Q2
-1.38238,AAMC,2017,Q3
-1.14827,AAMC,2017,Q4
-2.75267,AAMC,2018,Q1
-0.694,AAMC,2018,Q2
-0.7481,AAMC,2018,Q3
-2.68626,AAMC,2018,Q4
-0.56321,AAMC,2019,Q1
2.03645,AAMC,2019,Q2
-2.24731,AAMC,2019,Q3
-0.99533,AAMC,2019,Q4
-2.35129,AAMC,2020,Q1
-4.80886,AAMC,2020,Q2
7.20138,AAMC,2020,Q3
24.06313,AAMC,2020,Q4
3.17534,AAMC,2021,Q1
1.08581,AAMC,2021,Q2
-2.92443,AAMC,2021,Q3
-5.14367,AAMC,2021,Q4
-1.79757,AAMC,2022,Q1
-2.00908,AAMC,2022,Q2
-1.93206,AAMC,2022,Q3
0.0846,AAN,2020,Q4
1.06015,AAN,2021,Q1
0.96244,AAN,2021,Q2
0.72652,AAN,2021,Q3
0.55399,AAN,2021,Q4
0.68475,AAN,2022,Q1
