Ticker,Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
A,1/31/2017,45846,USD,2017,Q1,3/8/2017,3/6/2018,322000000,326000000,1067000000,-493000000,574000000,-368000000,-289000000,-79000000,,206000000,-13000000,-16000000,193000000,,193000000,-25000000,168000000,,168000000,168000000
A,4/30/2017,45846,USD,2017,Q2,6/6/2017,5/31/2018,321000000,325000000,1102000000,-510000000,592000000,-391000000,-307000000,-84000000,,201000000,-10000000,-15000000,191000000,,191000000,-27000000,164000000,,164000000,164000000
A,7/31/2017,45846,USD,2017,Q3,9/6/2017,8/30/2018,321000000,326000000,1114000000,-518000000,596000000,-395000000,-308000000,-87000000,,201000000,-8000000,-13000000,193000000,,193000000,-18000000,175000000,,175000000,175000000
A,10/31/2017,45846,USD,2017,Q4,12/21/2017,12/20/2018,324000000,327000000,1189000000,-542000000,647000000,-414000000,-325000000,-89000000,,233000000,-7000000,-13000000,226000000,,226000000,-49000000,177000000,,177000000,177000000
A,1/31/2018,45846,USD,2018,Q1,3/6/2018,3/5/2019,323000000,323000000,1211000000,-541000000,670000000,-441000000,-347000000,-94000000,,229000000,4000000,-11000000,233000000,,233000000,-553000000,-320000000,,-320000000,-320000000
A,4/30/2018,45846,USD,2018,Q2,5/31/2018,5/30/2019,322000000,326000000,1206000000,-563000000,643000000,-433000000,-341000000,-92000000,,210000000,17000000,-9000000,227000000,,227000000,-22000000,205000000,,205000000,205000000
A,7/31/2018,45846,USD,2018,Q3,8/30/2018,8/30/2018,320000000,324000000,1203000000,-538000000,665000000,-425000000,-330000000,-95000000,,240000000,2000000,-9000000,242000000,,242000000,-6000000,236000000,,236000000,236000000
A,10/31/2018,45846,USD,2018,Q4,12/20/2018,12/18/2020,319000000,327000000,1294000000,-592000000,702000000,-477000000,-371000000,-106000000,,225000000,19000000,-8000000,244000000,,244000000,-49000000,195000000,,195000000,195000000
A,1/31/2019,45846,USD,2019,Q1,3/5/2019,3/5/2019,318000000,322000000,1284000000,-577000000,707000000,-457000000,-355000000,-102000000,,250000000,-2000000,-8000000,248000000,,248000000,256000000,504000000,,504000000,504000000
A,4/30/2019,45846,USD,2019,Q2,5/30/2019,5/30/2019,317000000,321000000,1238000000,-569000000,669000000,-453000000,-354000000,-99000000,,216000000,2000000,-7000000,218000000,,218000000,-36000000,182000000,,182000000,182000000
A,7/31/2019,45846,USD,2019,Q3,8/30/2019,8/30/2019,313000000,317000000,1274000000,-582000000,692000000,-467000000,-366000000,-101000000,,225000000,-3000000,-8000000,222000000,,222000000,-31000000,191000000,,191000000,191000000
A,10/31/2019,45846,USD,2019,Q4,12/19/2019,12/19/2019,308000000,312000000,1367000000,-630000000,737000000,-487000000,-385000000,-102000000,,250000000,-19000000,-15000000,231000000,,231000000,-37000000,194000000,,194000000,194000000
A,1/31/2020,45846,USD,2020,Q1,3/3/2020,3/2/2021,310000000,313000000,1357000000,-634000000,723000000,-508000000,-404000000,-104000000,,215000000,4000000,-17000000,219000000,,219000000,-22000000,197000000,,197000000,197000000
A,4/30/2020,45846,USD,2020,Q2,6/1/2020,3/2/2021,310000000,313000000,1238000000,-581000000,657000000,-555000000,-358000000,-197000000,,102000000,19000000,-17000000,121000000,,121000000,-20000000,101000000,,101000000,101000000
A,7/31/2020,45846,USD,2020,Q3,9/1/2020,6/1/2021,307000000,310000000,1261000000,-592000000,669000000,-439000000,-347000000,-92000000,,230000000,-11000000,-18000000,219000000,,219000000,-20000000,199000000,,199000000,199000000
A,10/31/2020,45846,USD,2020,Q4,12/18/2020,9/1/2021,309000000,312000000,1483000000,-695000000,788000000,-489000000,-387000000,-102000000,,299000000,-16000000,-18000000,283000000,,283000000,-61000000,222000000,,222000000,222000000
A,1/31/2021,45846,USD,2021,Q1,3/2/2021,3/3/2022,306000000,309000000,1548000000,-710000000,838000000,-510000000,-407000000,-103000000,,328000000,-16000000,-19000000,312000000,,312000000,-24000000,288000000,,288000000,288000000
A,4/30/2021,45846,USD,2021,Q2,6/1/2021,3/3/2022,306000000,309000000,1525000000,-708000000,817000000,-529000000,-420000000,-109000000,,288000000,-15000000,-19000000,273000000,,273000000,-57000000,216000000,,216000000,216000000
A,7/31/2021,45846,USD,2021,Q3,9/1/2021,9/1/2022,305000000,307000000,1586000000,-734000000,852000000,-516000000,-403000000,-113000000,,336000000,-9000000,-21000000,327000000,,327000000,-63000000,264000000,,264000000,264000000
A,10/31/2021,45846,USD,2021,Q4,12/17/2021,5/31/2022,305000000,307000000,1660000000,-760000000,900000000,-505000000,-389000000,-116000000,,395000000,53000000,-20000000,448000000,,448000000,-6000000,442000000,,442000000,442000000
AA,12/31/2016,367153,USD,2016,Q4,2/3/2017,2/26/2019,184586415,186000000,2537000000,-2102000000,435000000,-278000000,-89000000,-7000000,-182000000,157000000,-71000000,-46000000,86000000,-209000000,-123000000,-6000000,-129000000,,-125000000,-125000000
AA,3/31/2017,367153,USD,2017,Q1,5/10/2017,5/9/2018,184000000,186000000,2655000000,-2023000000,632000000,-257000000,-71000000,-7000000,-179000000,375000000,53000000,-26000000,428000000,-10000000,418000000,-110000000,308000000,,225000000,225000000
AA,6/30/2017,367153,USD,2017,Q2,8/3/2017,8/2/2018,184000000,186000000,2859000000,-2289000000,570000000,-268000000,-70000000,-8000000,-190000000,302000000,-53000000,-25000000,249000000,-12000000,237000000,-99000000,138000000,,75000000,75000000
AA,9/30/2017,367153,USD,2017,Q3,10/27/2017,11/2/2018,184000000,189000000,2964000000,-2340000000,624000000,-272000000,-70000000,-8000000,-194000000,352000000,-74000000,-26000000,278000000,10000000,288000000,-119000000,169000000,,113000000,113000000
AA,12/31/2017,367153,USD,2017,Q4,2/26/2018,11/2/2018,184000000,187000000,3174000000,-2339000000,835000000,-265000000,-69000000,-9000000,-187000000,570000000,-57000000,-27000000,513000000,-297000000,216000000,-272000000,-56000000,,-196000000,-196000000
AA,3/31/2018,367153,USD,2018,Q1,5/9/2018,5/9/2018,186000000,188000000,3090000000,-2381000000,709000000,-269000000,-67000000,-8000000,-194000000,440000000,-47000000,-26000000,393000000,19000000,412000000,-138000000,274000000,,150000000,150000000
AA,6/30/2018,367153,USD,2018,Q2,8/2/2018,8/2/2018,186000000,190000000,3579000000,-2632000000,947000000,-265000000,-64000000,-9000000,-192000000,682000000,-41000000,-32000000,641000000,-231000000,410000000,-180000000,230000000,,75000000,75000000
AA,9/30/2018,367153,USD,2018,Q3,11/2/2018,11/2/2018,186000000,189000000,3390000000,-2534000000,856000000,-238000000,-58000000,-7000000,-173000000,618000000,-35000000,-33000000,583000000,-177000000,406000000,-251000000,155000000,,-41000000,-41000000
AA,12/31/2018,367153,USD,2018,Q4,2/26/2019,2/26/2019,186000000,189000000,3344000000,-2506000000,838000000,-240000000,-59000000,-7000000,-174000000,598000000,-63000000,-31000000,535000000,-138000000,397000000,-163000000,234000000,,66000000,66000000
AA,3/31/2019,367153,USD,2019,Q1,5/9/2019,5/9/2019,185000000,185000000,2719000000,-2180000000,539000000,-263000000,-84000000,-7000000,-172000000,276000000,-71000000,-30000000,205000000,-113000000,92000000,-150000000,-58000000,,-199000000,-199000000
AA,6/30/2019,367153,USD,2019,Q2,7/31/2019,7/31/2019,185000000,185000000,2711000000,-2189000000,522000000,-249000000,-68000000,-7000000,-174000000,273000000,-80000000,-30000000,193000000,-370000000,-177000000,-116000000,-293000000,,-402000000,-402000000
AA,9/30/2019,367153,USD,2019,Q3,10/31/2019,10/30/2020,185000000,185000000,2567000000,-2120000000,447000000,-257000000,-66000000,-7000000,-184000000,190000000,-57000000,-30000000,133000000,-185000000,-52000000,-95000000,-147000000,,-221000000,-221000000
AA,12/31/2019,367153,USD,2019,Q4,2/21/2020,10/30/2020,185000000,185000000,2436000000,-2048000000,388000000,-251000000,-62000000,-6000000,-183000000,137000000,-75000000,-31000000,62000000,-363000000,-301000000,-54000000,-355000000,,-303000000,-303000000
